"INN","ИНН"
"Vendor","Вендор"
"Payment Address","Адрес расчётов"
"SNO","Система налогообложения"
"Tax all", "Одинаковый налог для всех товаров"
"Tax options", "Код налоговой ставки"
"Without VAT", "Без НДС"
"Attribute for product tax", "Аттрибут налога"
"List of payment methods", "Выбор платежных методов"
"Auto send after invoice", "Автоотправка при <b>оплате</b> заказа"
"Auto send after cancel", "Автоотправка при <b>отмене</b> заказа"
"Use default shipping name", "Использовать стандартное имя доставки"
"Custom shipping name", "Имя доставки для чека"
"Shipping tax code", "Код налога для доставки"
"Send phone to vendor", "Отправлять телефон пользователя"
"Advanced settings", "Расширенные настройки"
"Set this status to order if sending data to KKM vendor failed.", "Если одна из ККМ транзакций не удалась, то заказ будет переведен в этот статус"
"Sending cheque fail status","Статус заказа при неудачной отправке чека/возврата"
"Format: http://www.domain.com/. Leave it empty for default value.","Формат: http://www.domain.com/. Оставьте пустым, если хотите использовать значение по умолчанию."
"Frequency of updating","Частота обновления"
"Autosending limit","Ограничение кол-ва автоотправок"
"Limit of attempts to send","Лимит попыток автоматической отправки fail транзакций"
"Use Crontab Format (Eg. ""*/5 * * * *"" for every 5 minutes)<br/>If status of cheque is <br/><strong>wait</strong> - The status will be updated.<br/><strong>fail</strong> - The cheque will be sent again to KKM.<br/>","Используйте Cron формат (н-р ""*/5 * * * *"" для каждых 5 мин)<br/>Если статус чека <br/><strong>wait</strong> - Статус будет автоматически обновлен.<br/><strong>fail</strong> - Чек будет отправлен снова.<br/>"
"Show button of force resend","Показывать кнопку принудительной отправки"
"Show KKM json button","Показывать кнопку Скачать KKM json"
"Allows to download KKM data of the order in json (to send to KKM manually)","Позволяет скачать данные заказа в формате json для отправки их в ККМ вручную"
"It changes external_id before sending to KKM. For advanced users","Принудительно изменяет external_id перед отправкой. Для продвинутых пользователей"

"Error handling","Обработка ошибок"
"Level of logs to send","Уровень логов, которые будут отправлены"
"All log records with this severity will be sent to email","Все записи с этим уровнем логирования будут отправляться"
"Separated by comma","Разделенные запятыми"
"Emails","Email адреса"
"Email Template","Шаблон письма"
"Show notifications in Dashboard","Показывать сообщения об ошибках в панели администратора"
"Send logs to emails","Отправлять ошибки на email"
"See logs","Смотреть логи"
"Debug level","Уровень логирования"

"Response from KKM vendor is empty or incorrect.","Ответ от ККМ вендора некорректен."
"Status of the order has been changed automatically because it no longer has failed KKM transactions.","Статус заказа был изменен автоматически, т.к. все ККМ транзакции были успешно отправлены."
"Status of the order has been changed automatically because it has failed KKM transactions.","Статус заказа был изменен автоматически, т.к. некоторые ККМ транзакции завершились неудачей."
"Cheque has been sent to KKM vendor.","Чек был успешно отправлен в ККМ."
"Cheque has been rejected by KKM vendor.","Чек был отвергнут ККМ."
"There is no response from Atol.","Нет ответа от Атол."
"There is no transactions for %s. Force send works for existing transactions only.","Для %s нет сохраненных транзакций. Принудительная отправка работает только для существующих транзакций."
"Response from Atol does not contain valid token value. Response: ","Ответ от Атол не найден корректный токен сессии. Ответ: "
"Product %s has invalid tax","Товар %s содержит некорректное значение налога"
"Can not send cheque to KKM. Order %s. Reason: %s","Чек не был отправлен в ККМ. Заказ № %s. Причина: %s"
"The cheque has not been sent to KKM.","Чек не был отправлен в ККМ."
"Order id: ","Номер заказа: "
"Extra Info: ","Дополнительная информация: "

"Received message from KKM vendor.","Получено сообщение от ККМ."
"Resend to KKM","Отправить в ККМ"
"Force resend to KKM","Принудительно отправить в ККМ"
"Download KKM json","Скачать KKM json"
"Check status in KKM","Проверить статус в ККМ"
"Something goes wrong. Invalid URL for resend. Check logs.","Что-то пошло не так. Некорректный URL для повторной отправки. Детали см. в логе."
"Data was sent to KKM. Status of the transaction see in orders comment.","Данные были отправлен в ККМ. Статус транзакции записан в комментариях заказа."
"KKM Vendor not found.","Поставщик услуг ККМ не найден."
"Check KKM module settings.","Проверьте настройки ККМ модуля."
"Can not check status of the transaction.","Невозможно проверить статус транзакции."
"Uuid can not be empty.","Uuid не может быть пустым."
"Status was updated.","Статус обновлен."
"Clear logs","Очистить логи"
